Location,Original Sentence,Rewritten Sentence
02_experience › Blurb (AstraZeneca · India),Delivered a CT tumor-segmentation pipeline that exceeded state-of-the-art and secured follow-on funding.,Delivered a CT tumor-segmentation pipeline that exceeded state-of-the-art and secured follow-on funding.
02_experience › CT Segmentation - Oncology Imaging,"Delivered a CT tumor segmentation pipeline in 6 months; Dice scores 46% above SOTA, securing $0.5M in follow-on funding.","Delivered a CT tumor segmentation pipeline in 6 months; Dice scores 46% above state-of-the-art, securing $0.5M in follow-on funding."
02_experience › CT Segmentation - Oncology Imaging,"Developed a radiologist-inspired dynamic window function and test-time augmentation, improving segmentation Dice by 11% and 7% respectively.","Developed a radiologist-inspired dynamic window function and test-time augmentation, improving segmentation Dice by 11% and 7% respectively."
02_experience › CT Segmentation - Oncology Imaging,"Exceeded stakeholder performance targets by 4-5x, achieving a 46% Dice improvement over state-of-the-art on NSCLC tumor segmentation benchmarks.","Exceeded stakeholder performance targets by 4-5x, achieving a 46% Dice improvement over state-of-the-art on NSCLC tumor segmentation benchmarks."
02_experience › CT Segmentation - Oncology Imaging,"Validated pipeline generalizability across independent clinical trial datasets and out-of-distribution imaging cohorts, including POSEIDON.","Validated pipeline generalizability across independent clinical trial datasets and out-of-distribution imaging cohorts, including POSEIDON."
02_experience › CT Segmentation - Oncology Imaging,Reduced end-to-end training time by 20% and GPU memory by 15-20% through model parallelism and distributed data-parallel training strategies.,Reduced end-to-end training time by 20% and GPU memory by 15-20% through model parallelism and distributed data-parallel training strategies.
02_experience › Blurb (AstraZeneca · India),Built AWS foundation-model and graph-neural-network platforms for digital pathology and clinical imaging.,Built AWS foundation-model and graph-neural-network platforms for digital pathology and clinical imaging.
02_experience › Foundation Models for Digital Pathology,"AI Lead for an Executive Director-sponsored initiative developing a scalable, reusable histopathology foundation model platform on AWS infrastructure.","AI Lead for an Executive Director-sponsored initiative developing a scalable, reusable histopathology foundation model platform on AWS infrastructure."
02_experience › Foundation Models for Digital Pathology,"Developed an end-to-end AWS ML pipeline spanning data ingestion, preprocessing, distributed training, model interpretability, and inference.","Developed an end-to-end AWS ML pipeline spanning data ingestion, preprocessing, distributed training, model interpretability, and inference."
02_experience › Foundation Models for Digital Pathology,Trained contrastive learning-based histopathology foundation models matching state-of-the-art benchmark performance at reduced GPU compute cost.,Trained contrastive learning-based histopathology foundation models matching state-of-the-art benchmark performance at reduced GPU compute cost.
02_experience › Foundation Models for Digital Pathology,"Designed an ink-removal pipeline using classical image processing techniques, achieving performance parity with deep learning-based methods.","Designed an ink-removal pipeline using classical image processing techniques, achieving performance parity with deep learning-based methods."
02_experience › Foundation Models for Digital Pathology,"Built, deployed, and maintained a Label Studio annotation tool for pathologists within a GxP-compliant, multi-user internal AI-Bench environment.","Built, deployed, and maintained a Label Studio annotation tool for pathologists within a GxP-compliant, multi-user internal AI-Bench environment."
02_experience › Foundation Models for Digital Pathology,Led a 4-member engineering team to deliver 2 contrastive and inpainting histopathology foundation model variants at 60% lower GPU compute costs.,Led a 4-member engineering team to deliver 2 contrastive and inpainting histopathology foundation model variants at 60% lower GPU compute costs.
02_experience › Graph Neural Networks & Clinical Imaging,Developed a Graph Neural Network-based pipeline for survival and response prediction on multiplex immunofluorescence histopathology slides.,Developed a Graph Neural Network-based pipeline for survival and response prediction on multiplex immunofluorescence histopathology slides.
02_experience › Graph Neural Networks & Clinical Imaging,Deployed graph-embedding pipelines to map the tumor microenvironment across NSCLC and HNSCC solid-tumor cohorts for response prediction.,Deployed graph-embedding pipelines to map the tumor microenvironment across NSCLC and HNSCC solid-tumor cohorts for response prediction.
02_experience › Graph Neural Networks & Clinical Imaging,Modularized preprocessing pipelines to extract and encode graphs with features derived from multispectral gigapixel histopathology images.,Modularized preprocessing pipelines to extract and encode graphs with features derived from multispectral gigapixel histopathology images.
"02_experience › Blurb (HCLTech, India)","Shipped production computer-vision systems for face, video, and pose analytics across enterprise deployments.","Delivered production computer-vision systems for face, video, and pose analytics across enterprise deployments."
02_experience › Face Analytics,"Delivered an enterprise face analytics platform with real-time recognition, verification, and identity clustering across 2 client deployments.","Delivered an enterprise face analytics platform with real-time recognition, verification, and identity clustering across 2 client deployments."
02_experience › Face Analytics,"Automated model optimization, compression, and deployment pipelines for resource-constrained edge environments.","Automated model optimization, compression, and deployment pipelines for resource-constrained edge environments."
02_experience › Face Analytics,"Accelerated enterprise use-case onboarding through modular, Docker-based components, configurable model pipelines, and scalable deployment tooling.","Accelerated enterprise use-case onboarding through modular, Docker-based components, configurable model pipelines, and scalable deployment tooling."
02_experience › Video Analytics,Built scalable video analytics pipelines for person re-identification (ReID) and multi-object tracking (MOT) across indoor and outdoor surveillance.,Built scalable video analytics pipelines for person re-identification (ReID) and multi-object tracking (MOT) across indoor and outdoor surveillance.
02_experience › Video Analytics,"Developed label-based tracking algorithms resilient to lighting variability, camera motion, and multi-scene conditions.","Developed label-based tracking algorithms resilient to lighting variability, camera motion, and multi-scene conditions."
02_experience › Pose & Behavior Analysis,"Shipped a production-grade multi-environment pose estimation pipeline for an enterprise client spanning indoor, outdoor, and controlled settings.","Delivered a production-grade multi-environment pose estimation pipeline for an enterprise client spanning indoor, outdoor, and controlled settings."
02_experience › Pose & Behavior Analysis,"Automated the activity recognition, behavioral monitoring, and event detection algorithms using TensorFlow-based pose-derived spatiotemporal features.","Automated the activity recognition, behavioral monitoring, and event detection algorithms using TensorFlow-based pose-derived spatiotemporal features."
02_experience › Pose & Behavior Analysis,Developed thermal-imaging-based physiological monitoring pipelines for real-time body vitals estimation across diverse operational environments.,Developed thermal-imaging-based physiological monitoring pipelines for real-time body vitals estimation across diverse operational environments.
02_experience › Blurb (IIT Madras),"Developed real-time clinical imaging systems spanning endoscopy, retinal imaging, and 3D neuroanatomy.","Developed real-time clinical imaging systems spanning endoscopy, retinal imaging, and 3D neuroanatomy."
02_experience › Neonatal Retinal Imaging,Shipped an end-to-end retinal image processing pipeline for clinical deployment in a first-of-its-kind 4K neonatal retinal imaging scanner.,Delivered an end-to-end retinal image processing pipeline for clinical deployment in a first-of-its-kind 4K neonatal retinal imaging scanner.
02_experience › Endoscopy GPU System,"Proposed and developed a digital Narrow Band Imaging (NBI) pipeline, eliminating dedicated hardware and reducing customer costs by ~$5K per device.","Proposed and developed a digital Narrow Band Imaging (NBI) pipeline, eliminating dedicated hardware and reducing customer costs by ~$5K per device."
02_experience › Endoscopy GPU System,Developed and deployed a clinical-grade real-time endoscopy video processing system with 10+ modules on NVIDIA Jetson TX1.,Developed and deployed a clinical-grade real-time endoscopy video processing system with 10+ modules on NVIDIA Jetson TX1.
02_experience › Endoscopy GPU System,"Implemented real-time algorithms for polyp detection, blood vessel segmentation, illumination correction, enhancement, inpainting, and artifact removal.","Implemented real-time algorithms for polyp detection, blood vessel segmentation, illumination correction, enhancement, inpainting, and artifact removal."
02_experience › Mouse Brain Architecture,"Developed algorithms for cellular segmentation, cross-modality image alignment, and 3D reconstruction from multimodal serial-section 2D images.","Developed algorithms for cellular segmentation, cross-modality image alignment, and 3D reconstruction from multimodal serial-section 2D images."
02_experience › Mouse Brain Architecture,"Introduced algorithms for neuron connectivity analysis, neuron tracing, and neuronal network topology mapping from coordinate-based 3D points.","Introduced algorithms for neuron connectivity analysis, neuron tracing, and neuronal network topology mapping from coordinate-based 3D points."
02_experience › Mouse Brain Architecture,Built and delivered a neuron-connectivity toolbox to Dr. Partha Mitra at Cold Spring Harbor Laboratory and researchers at RIKEN Brain Science Institute.,Built and delivered a neuron-connectivity toolbox to Dr. Partha Mitra at Cold Spring Harbor Laboratory and researchers at RIKEN Brain Science Institute.
02_experience › Ultrasound-Guided Robotic Navigation,Established Verification & Validation (V&V) protocols for an ultrasound-guided (US-guided) robotic navigation system for liver tumor ablation.,Established Verification & Validation (V&V) protocols for an ultrasound-guided (US-guided) robotic navigation system for liver tumor ablation.
02_experience › Ultrasound-Guided Robotic Navigation,Designed and validated US-US and US-CT registration pipelines capable of aligning multimodal images with temporal and orientation variations.,Designed and validated US-US and US-CT registration pipelines capable of aligning multimodal images with temporal and orientation variations.
02_experience › Ultrasound-Guided Robotic Navigation,"Built 3D ultrasound reconstruction and oblique plane visualization workflows, and defined protocols for image acquisition, segmentation, and registration.","Built 3D ultrasound reconstruction and oblique plane visualization workflows, and defined protocols for image acquisition, segmentation, and registration."
02_experience › Blurb (Healthware),"Bridged clinical, engineering, and commercial teams across 50+ hospital sites to accelerate medical-imaging adoption.","Bridged clinical, engineering, and commercial teams across 50+ hospital sites to accelerate medical-imaging adoption."
02_experience › Clinical Adoption & Commercial Enablement,"Coordinated alignment as primary liaison across clinicians, biomedical engineers, sales teams, service teams, and hospital leadership spanning 50+ sites.","Coordinated clinicians, biomedical engineers, sales teams, service teams, and hospital leadership as primary liaison across 50+ sites."
02_experience › Clinical Adoption & Commercial Enablement,"Built KOL networks and reference ecosystems through site visits, clinical demonstrations, and advocacy programs influencing purchasing decisions.","Cultivated KOL networks and reference ecosystems through site visits, clinical demonstrations, and advocacy programs that influenced purchasing decisions."
02_experience › Clinical Adoption & Commercial Enablement,"Led value-based pre-sales engagements covering needs assessments, clinical evaluations, economic justification, and competitive displacement.","Led value-based pre-sales engagements covering needs assessments, clinical evaluations, economic justification, and competitive displacement."
02_experience › Clinical Adoption & Commercial Enablement,"Developed commercial assets including competitive matrices, objection-handling guides, and case studies to strengthen market positioning.","Developed commercial assets including competitive matrices, objection-handling guides, and case studies to strengthen market positioning."
02_experience › Clinical Adoption & Commercial Enablement,"Managed customer implementations including site setup, deployment, go-live execution, post-deployment stabilization, and proactive issue resolution.","Managed customer implementations including site setup, deployment, go-live execution, post-deployment stabilization, and proactive issue resolution."
02_experience › Clinical Adoption & Commercial Enablement,"Standardized clinical workflows with SOPs, safety protocols, checklists, quick-reference cards, and parameter preset libraries across sites.","Standardized clinical workflows with SOPs, safety protocols, checklists, quick-reference cards, and parameter preset libraries across sites."
02_experience › Clinical Adoption & Commercial Enablement,Designed scalable train-the-trainer and role-based training programs across surgical specialties to accelerate adoption and sustained product utilization.,Designed scalable train-the-trainer and role-based training programs across surgical specialties to accelerate adoption and sustain product utilization.
03_research › Publications,Developed an unsupervised graph embedding framework for interactive exploration and visualization of multiplex immunofluorescence images.,Developed an unsupervised graph embedding framework for interactive exploration and visualization of multiplex immunofluorescence images.
03_research › Publications,Proposed self-supervised image representation learning for pathology images to support downstream tasks in drug discovery and development.,Proposed self-supervised image representation learning for pathology images to support downstream tasks in drug discovery and development.
03_research › Publications,Early version of GraphITE: unsupervised graph embeddings for exploring multiplex immunofluorescence images.,Early version of GraphITE: unsupervised graph embeddings for exploring multiplex immunofluorescence images.
03_research › Conferences,"Presented a fast, interactive AI-assisted 3D lung tumor segmentation approach for clinical CT imaging.","Presented a fast, interactive AI-assisted 3D lung tumor segmentation approach for clinical CT imaging."
03_research › Conferences,Presented segmentation methods that improved performance on challenging non-small cell lung cancer cohorts.,Presented segmentation methods that improved performance on challenging non-small cell lung cancer cohorts.
03_research › Conferences,Presented graph-based methods for hypothesis- and data-driven research using multiplex immunofluorescence images.,Presented graph-based methods for hypothesis- and data-driven research using multiplex immunofluorescence images.
03_research › Speaking Engagements,Explored how foundation models and single-cell technologies are reshaping precision medicine and accelerating therapeutic discovery.,Explored how foundation models and single-cell technologies are reshaping precision medicine and accelerating therapeutic discovery.
03_research › Speaking Engagements,A novel framework combining single-cell transcriptomics and machine learning to detect treatment-resistant persister cell populations.,A novel framework combining single-cell transcriptomics and machine learning to detect treatment-resistant persister cell populations.
05_vision › Intro,"Identified enterprise AI opportunities from Kaggle and the broader AI ecosystem, established the organization's multimodal AI vision, secured executive sponsorship, and led enterprise-scale delivery of strategic AI initiatives sponsored by the SVP and Chief Scientist.","Identified enterprise AI opportunities from Kaggle and the broader AI ecosystem, established the organization's multimodal AI vision, secured executive sponsorship, and led enterprise-scale delivery of strategic AI initiatives sponsored by the SVP and Chief Scientist."
06_contact › Contact intro,"Open to discussing AI leadership opportunities, research collaborations, and advisory roles.","Open to discussing AI leadership opportunities, research collaborations, and advisory roles."
06_contact › Response time,Typically respond within 24-48 hours.,Typically respond within 24-48 hours.
